"participantnum";"date";"ms_condition";"dv_order";"prous1";"prous2";"prous3";"prous4";"prous5";"antius1";"antius2";"antius3";"antius4";"antius5";"cheerful";"sad";"active";"angryatself";"disgusted";"calm";"guilty";"enthusiastic";"attentive";"afraid";"joyful";"downhearted";"bashful";"tired";"nervous";"sheepish";"sluggish";"amazed";"lonely";"distressed";"daring";"shaky";"sleepy";"blameworthy";"surprised";"happy";"excited";"determined";"strong";"timid";"hostile";"frightened";"scornful";"alone";"proud";"astonished";"relaxed";"alert";"jittery";"interested";"irritable";"upset";"lively";"loathing";"delighted";"angry";"ashamed";"confident";"inspired";"bold";"atease";"energetic";"fearless";"blue";"scared";"concentrating";"disgustedwithself";"shy";"drowsy";"dissatisfiedwithself";"countryofbirth";"race";"americanid";"msincomplete";"expert";"source";"location";"proauth_avg";"antiauth_avg";"pro_minus_anti";"pass_ER1";"pass_ER2";"pass_ER3";"usborn";"iswhite"
"11";NA;"tv";"anti-first";8;8;6;7;5;6;6;6;4;5;"1";"2";"3";"1";"1";"2";"1";"2";"1";"3";"2";"3";"1";"5";"5";"3";"4";"2";"4";"3";"3";"1";"5";"3";"3";"3";"3";"4";"3";"2";"3";"5";"2";"2";"3";"1";"1";"1";"3";"2";"2";"2";"1";"3";"1";"2";"1";"3";"4";"2";"2";"2";"3";"2";"5";"2";"1";"2";"5";"1";"1";"4";NA;"0";1;"riverside";"riverside";6;5;1;TRUE;FALSE;FALSE;1;0
"12";NA;"ms";"anti-first";5;5;6;6;7;9;9;7;6;7;"3";"1";"3";"1";"1";"2";"1";"2";"3";"1";"3";"2";"1";"4";"1";"2";"4";"1";"1";"2";"2";"1";"5";"1";"1";"3";"3";"2";"3";"1";"1";"1";"1";"1";"2";"2";"2";"3";"1";"2";"3";"1";"2";"1";"3";"1";"1";"2";"3";"1";"2";"2";"3";"1";"1";"2";"1";"2";"4";"1";"1";"4";NA;"0";1;"riverside";"riverside";6,33333333333333;6,66666666666667;-0,333333333333334;TRUE;FALSE;FALSE;1;0
"13";NA;"tv";"pro-first";9;9;7;8;8;7;7;7;5;7;"2";"1";"2";"1";"1";"3";"1";"2";"4";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"2";"1";"2";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"3";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"3";"1";"1";"1";"1";"2";"4";NA;"0";1;"riverside";"riverside";7,66666666666667;6,33333333333333;1,33333333333333;TRUE;FALSE;FALSE;0;0
"14";NA;"tv";"pro-first";9;9;9;9;9;9;9;9;9;9;"5";"1";"5";"1";"1";"5";"1";"5";"4";"1";"5";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"1";"1";"5";"5";"5";"5";"1";"1";"1";"1";"1";"5";"1";"5";"1";"1";"5";"1";"1";"5";"1";"5";"1";"1";"5";"5";"5";"5";"5";"5";"1";"1";"5";"1";"1";"1";"1";"1";NA;NA;"0";1;"riverside";"riverside";9;9;0;TRUE;FALSE;FALSE;1;0
"15";NA;"tv";"anti-first";6;7;7;6;7;7;5;7;7;6;"1";"2";"2";"1";"2";"2";"1";"1";"4";"2";"3";"1";"3";"1";"2";"1";"2";"1";"3";"1";"4";"1";"2";"1";"2";"2";"2";"3";"3";"4";"1";"1";"5";"3";"3";"1";"2";"2";"1";"3";"1";"1";"1";"1";"1";"1";"1";"3";"1";"1";"3";"2";"3";"3";"1";"5";"1";"4";"1";"1";"1";"4";NA;"0";1;"riverside";"riverside";6,66666666666667;6,66666666666667;0;TRUE;FALSE;FALSE;1;0
"16";NA;"ms";"anti-first";6;5;5;5;4;7;7;8;6;6;"4";"1";"4";"2";"2";"3";"3";"2";"3";"2";"3";"2";"3";"2";"3";"2";"3";"3";"2";"1";"4";"2";"2";"3";"3";"3";"4";"3";"4";"2";"4";"2";"3";"2";"4";"3";"3";"4";"2";"3";"4";"3";"2";"2";"4";"3";"2";"4";"3";"3";"2";"3";"3";"2";"2";"3";"1";"2";"2";"1";"1";"4";NA;"0";1;"riverside";"riverside";4,66666666666667;6,66666666666667;-2;TRUE;FALSE;FALSE;1;0
"17";NA;"tv";"pro-first";8;8;8;7;8;6;5;6;7;7;"1";"1";"3";"2";"3";"3";"2";"3";"3";"1";"3";"1";"1";"4";"1";"1";"1";"2";"1";"1";"2";"1";"4";"1";"2";"3";"2";"3";"4";"1";"1";"1";"1";"1";"2";"1";"4";"3";"1";"1";"2";"2";"3";"1";"3";"1";"1";"3";"1";"1";"4";"2";"4";"1";"1";"3";"2";"1";"2";"2";"1";NA;NA;"0";1;"riverside";"riverside";7,66666666666667;6,66666666666667;1;TRUE;FALSE;FALSE;1;0
"18";NA;"ms";"anti-first";6;7;6;7;7;7;7;5;6;6;"3";"1";"5";"1";"1";"5";"1";"2";"4";"1";"3";"1";"1";"3";"1";"1";"1";"1";"1";"1";"4";"1";"3";"1";"1";"4";"1";"5";"3";"1";"1";"1";"1";"1";"1";"1";"5";"5";"1";"2";"3";"1";"3";"1";"3";"1";"1";"4";"1";"4";"4";"3";"4";"1";"1";"5";"1";"1";"1";"1";"1";"2";NA;"0";1;"riverside";"riverside";6,66666666666667;5,66666666666667;1;TRUE;FALSE;FALSE;1;0
"19";NA;"ms";"pro-first";4;3;5;3;4;6;4;5;4;4;"3";"2";"2";"1";"1";"4";"1";"2";"3";"1";"2";"1";"1";"3";"2";"1";"2";"1";"2";"2";"1";"1";"3";"1";"2";"2";"1";"2";"1";"1";"1";"1";"1";"2";"1";"1";"3";"2";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"3";"2";"1";"1";"1";"4";"1";"3";"2";"3";"1";"4";NA;"0";1;"riverside";"riverside";4;4,33333333333333;-0,333333333333333;TRUE;FALSE;FALSE;1;0
"20";NA;"ms";"anti-first";7;6;7;6;6;7;7;7;6;7;"2";"2";"1";"1";"1";"4";"1";"1";"3";"1";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"3";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"1";"1";"1";"1";"3";"1";"1";"1";"2";"1";"4";6;"0";1;"riverside";"riverside";6,33333333333333;6,66666666666667;-0,333333333333334;TRUE;FALSE;FALSE;1;0
"21";NA;"ms";"pro-first";6;7;8;7;8;5;7;6;5;5;"2";"3";"4";"1";"1";"4";"1";"2";"3";"1";"2";"3";"1";"3";"1";"1";"2";"1";"4";"1";"1";"1";"1";"1";"1";"2";"2";"3";"3";"2";"1";"1";"1";"3";"1";"2";"2";"4";"1";"2";"1";"1";"1";"1";"3";"1";"1";"3";"2";"1";"2";"2";"1";"1";"1";"5";"2";"2";"1";"2";"1";"4";3;"0";1;"riverside";"riverside";7,66666666666667;5,33333333333333;2,33333333333333;TRUE;FALSE;FALSE;1;0
"22";NA;"ms";"pro-first";9;9;7;9;8;9;9;8;8;8;"1";"2";"2";"1";"1";"4";"1";"2";"3";"1";"1";"1";"1";"4";"2";"1";"2";"1";"1";"4";"2";"1";"4";"1";"3";"3";"2";"4";"2";"3";"1";"1";"1";"1";"2";"3";"4";"2";"1";"3";"1";"1";"2";"1";"2";"1";"1";"3";"2";"1";"3";"3";"3";"2";"1";"4";"1";"4";"4";"1";"2";"6";NA;"0";1;"riverside";"riverside";8;8;0;TRUE;FALSE;FALSE;0;0
"23";NA;"tv";"pro-first";6;6;6;5;5;7;7;7;6;7;"3";"1";"2";"1";"1";"3";"1";"2";"3";"1";"3";"1";"1";"4";"1";"1";"1";"2";"1";"3";"2";"2";"4";"1";"1";"3";"2";"2";"2";"2";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"2";"2";"2";"1";"1";"2";"1";"2";"2";"1";"1";"6";NA;"0";1;"riverside";"riverside";5,33333333333333;6,66666666666667;-1,33333333333333;TRUE;FALSE;FALSE;1;0
"24";NA;"ms";"anti-first";7;3;5;4;5;8;8;9;8;9;"2";"1";"1";"1";"1";"4";"1";"2";"2";"1";"3";"1";"1";"4";"1";"1";"3";"1";"2";"2";"2";"1";"3";"1";"1";"3";"2";"2";"3";"1";"2";"1";"1";"1";"2";"1";"5";"1";"1";"3";"2";"1";"2";"1";"1";"1";"1";"3";"2";"3";"3";"2";"2";"1";"1";"3";"1";"1";"3";"1";"1";NA;NA;"0";1;"riverside";"riverside";4,66666666666667;8,66666666666667;-4;TRUE;FALSE;FALSE;1;0
"25";NA;"ms";"pro-first";7;7;7;6;6;8;8;7;6;6;"4";"1";"2";"1";"1";"2";"1";"2";"3";"1";"4";"1";"1";"4";"1";"1";"2";"1";"1";"2";"4";"2";"4";"1";"1";"5";"3";"1";"3";"1";"1";"1";"1";"1";"1";"1";"3";"3";"1";"3";"1";"1";"4";"1";"3";"1";"1";"2";"4";"3";"3";"3";"4";"1";"1";"2";"1";"1";"2";"1";"1";"4";6;"0";1;"riverside";"riverside";6,33333333333333;6,33333333333333;0;TRUE;FALSE;FALSE;1;0
"26";NA;"ms";"anti-first";5;4;5;5;5;6;7;7;5;6;"3";"2";"4";"1";"4";"5";"2";"4";"3";"4";"4";"3";"4";"4";"3";"2";"3";"4";"2";"2";"2";"3";"4";"2";"4";"5";"4";"4";"3";"5";"3";"3";"2";"1";"4";"4";"4";"4";"3";"3";"4";"3";"3";"4";"5";"3";"3";"4";"5";"3";"4";"4";"2";"2";"3";"3";"2";"5";"2";"1";"1";"4";7;"0";1;"riverside";"riverside";5;6;-1;TRUE;FALSE;FALSE;1;0
"27";NA;"ms";"pro-first";4;3;5;5;5;3;5;6;6;6;"1";"3";"2";"2";"1";"1";"2";"2";"2";"1";"2";"1";"1";"5";"1";"1";"4";"1";"2";"1";"2";"1";"4";"3";"1";"2";"1";"2";"2";"1";"1";"1";"1";"3";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"3";"1";"3";"1";"3";"1";"1";"1";"1";"1";"4";"3";"1";"4";7;"0";1;"riverside";"riverside";5;6;-1;TRUE;FALSE;FALSE;1;0
"28";NA;"ms";"pro-first";8;8;8;8;8;7;4;7;6;6;"2";"1";"2";"1";"1";"5";"1";"3";"3";"1";"3";"1";"1";"4";"1";"1";"4";"2";"1";"1";"1";"1";"5";"1";"2";"4";"3";"3";"4";"2";"1";"1";"1";"1";"3";"1";"4";"3";"1";"2";"2";"1";"3";"2";"3";"1";"1";"3";"3";"3";"4";"1";"3";"1";"1";"4";"1";"3";"4";"1";"1";"4";7;"0";1;"riverside";"riverside";8;6,33333333333333;1,66666666666667;TRUE;FALSE;FALSE;1;0
"29";NA;"ms";"pro-first";7;3;7;7;8;2;9;2;1;2;"3";"2";"2";"1";"1";"5";"1";"1";"4";"1";"2";"2";"2";"5";"1";"2";"4";"2";"1";"3";"2";"3";"5";"3";"1";"3";"2";"1";"2";"3";"1";"3";"1";"2";"1";"1";"3";"3";"2";"2";"2";"1";"1";"1";"3";"1";"3";"1";"3";"4";"2";"1";"2";"2";"1";"4";"3";"2";"4";"2";"1";"4";6;"0";1;"riverside";"riverside";7,33333333333333;1,66666666666667;5,66666666666667;TRUE;FALSE;FALSE;1;0
"30";NA;"ms";"anti-first";7;6;6;7;6;7;6;5;5;5;"3";"4";"1";"4";"1";"1";"2";"2";"3";"3";"3";"2";"5";"2";"5";"2";"2";"2";"2";"4";"1";"3";"3";"2";"1";"2";"2";"4";"4";"4";"1";"3";"1";"2";"1";"1";"1";"3";"1";"3";"4";"4";"2";"2";"2";"2";"2";"1";"2";"1";"1";"2";"1";"4";"3";"4";"2";"5";"2";"5";"1";"6";4;"0";1;"riverside";"riverside";6,33333333333333;5;1,33333333333333;TRUE;FALSE;FALSE;1;0
"31";NA;"ms";"anti-first";5;5;7;7;7;8;8;7;7;7;"2";"3";"1";"1";"3";"5";"1";"3";"4";"1";"3";"1";"1";"3";"2";"1";"4";"1";"1";"1";"3";"1";"5";"1";"4";"3";"2";"4";"4";"1";"1";"1";"1";"1";"4";"1";"4";"4";"1";"4";"1";"1";"3";"1";"2";"1";"1";"5";"4";"1";"5";"2";"5";"1";"1";"5";"1";"1";"4";"1";"1";NA;6;"0";1;"riverside";"riverside";7;7;0;TRUE;FALSE;FALSE;1;0
"32";NA;"ms";"pro-first";7;8;8;8;8;8;8;8;8;8;"1";"1";"2";"1";"1";"4";"1";"1";"4";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"3";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"3";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"1";"1";"1";"1";"4";"1";"1";"2";"1";"1";"4";5;"0";1;"riverside";"riverside";8;8;0;TRUE;FALSE;FALSE;1;0
"33";NA;"ms";"anti-first";7;6;5;4;5;6;6;5;4;5;"1";"3";"1";"2";"2";"4";"2";"1";"5";"2";"1";"2";"1";"3";"2";"2";"2";"1";"3";"1";"1";"2";"3";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"3";"1";"1";"3";"1";"1";"2";"2";"2";"1";"1";"1";"2";"1";"2";"1";"1";"4";"1";"1";"2";"1";"3";"2";"3";"2";"1";"1";"4";4;"0";1;"riverside";"riverside";4,66666666666667;4,66666666666667;0;TRUE;FALSE;FALSE;1;0
"34";NA;"ms";"anti-first";3;8;7;9;8;3;9;7;9;8;"1";"3";"1";"1";"1";"2";"1";"1";"3";"1";"1";"4";"1";"3";"1";"1";"1";"1";"1";"2";"1";"3";"1";"1";"1";"1";"1";"3";"1";"3";"1";"1";"1";"1";"1";"1";"1";"2";"2";"4";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"3";"1";"1";"1";"1";"1";NA;4;"0";1;"riverside";"riverside";8;8;0;TRUE;FALSE;FALSE;1;0
"35";NA;"ms";"anti-first";8;8;8;8;8;7;3;7;7;5;"1";"1";"1";"1";"1";"3";"1";"1";"5";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"1";"5";"1";"1";"1";"1";"1";"1";"1";"1";"3";"1";"4";"2";"1";"1";"1";"5";"1";"1";"1";"1";"1";"6";1;"0";1;"riverside";"riverside";8;6,33333333333333;1,66666666666667;TRUE;FALSE;FALSE;1;0
"36";NA;"tv";"pro-first";8;7;8;9;8;8;6;8;8;8;"3";"3";"5";"3";"1";"2";"3";"3";"4";"1";"2";"3";"1";"2";"2";"1";"2";"2";"2";"2";"5";"3";"2";"2";"1";"2";"2";"4";"4";"2";"2";"1";"3";"2";"2";"2";"2";"4";"3";"3";"1";"3";"2";"2";"1";"2";"3";"4";"4";"4";"2";"2";"4";"2";"1";"2";"2";"2";"2";"2";"1";"6";8;"0";1;"riverside";"riverside";8,33333333333333;8;0,333333333333334;TRUE;FALSE;FALSE;1;0
"37";NA;"tv";"anti-first";8;8;6;6;6;6;6;6;5;6;"4";"2";"4";"2";"3";"5";"3";"4";"3";"3";"4";"2";"2";"2";"2";"2";"2";"4";"1";"1";"4";"1";"1";"2";"1";"4";"4";"5";"4";"2";"2";"2";"1";"2";"3";"2";"5";"5";"3";"3";"2";"2";"3";"2";"3";"2";"2";"3";"4";"2";"3";"4";"4";"2";"2";"5";"2";"1";"1";"2";"1";"6";6;"0";1;"riverside";"riverside";6;5,66666666666667;0,333333333333333;TRUE;FALSE;FALSE;1;0
"38";NA;"tv";"anti-first";8;8;7;6;6;7;5;4;6;4;"1";"3";"5";"3";"3";"5";"1";"1";"5";"1";"1";"5";"3";"2";"2";"4";"4";"1";"4";"4";"1";"1";"2";"1";"1";"2";"1";"4";"3";"2";"3";"1";"2";"4";"3";"1";"3";"3";"1";"1";"3";"3";"1";"3";"2";"2";"1";"4";"1";"5";"2";"2";"5";"5";"1";"4";"2";"3";"1";"3";"1";"4";7;"0";1;"riverside";"riverside";6,33333333333333;4,66666666666667;1,66666666666667;TRUE;FALSE;FALSE;1;0
"39";NA;"tv";"anti-first";7;7;7;7;7;8;8;6;7;6;"1";"4";"1";"1";"1";"4";"2";"1";"1";"2";"1";"1";"1";"5";"1";"1";"5";"1";"4";"3";"2";"3";"1";"1";"1";"3";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"3";"1";"1";"1";"4";"2";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"1";"4";"1";"1";"2";"1";"2";"3";NA;NA;NA;"0";1;"riverside";"riverside";7;6,33333333333333;0,666666666666667;TRUE;FALSE;FALSE;0;0
"40";NA;"tv";"pro-first";7;7;7;8;7;7;8;5;5;5;"1";"1";"2";"1";"1";"4";"2";"2";"3";"1";"2";"1";"2";"5";"1";"2";"5";"2";"1";"3";"1";"1";"5";"1";"1";"1";"2";"1";"3";"5";"1";"1";"2";"4";"1";"1";"4";"2";"1";"2";"2";"1";"1";"1";"3";"1";"1";"1";"1";"1";"3";"2";"1";"1";"2";"2";"1";"1";"3";"2";"1";"4";6;"0";1;"riverside";"riverside";7,33333333333333;5;2,33333333333333;TRUE;FALSE;FALSE;1;0
"41";NA;"tv";"pro-first";7;7;7;7;7;5;3;4;4;3;"3";"1";"3";"1";"1";"5";"1";"3";"4";"1";"3";"1";"1";"2";"4";"1";"2";"1";"1";"3";"1";"1";"2";"1";"1";"3";"1";"3";"3";"1";"1";"1";"1";"1";"3";"1";"5";"5";"2";"1";"1";"1";"1";"1";"3";"1";"1";"5";"1";"1";"5";"3";"3";"1";"1";"5";"1";"1";"2";"1";"1";"4";8;"0";1;"riverside";"riverside";7;3,66666666666667;3,33333333333333;TRUE;FALSE;FALSE;1;0
"42";NA;"tv";"pro-first";6;7;7;8;5;7;6;7;5;7;"3";"1";"1";"1";"1";"5";"1";"1";"3";"1";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"3";"1";"1";"3";"1";"1";"3";"2";"1";"1";"1";"2";"1";"1";"4";"2";"1";"2";"1";"1";"2";"1";"3";"1";"1";"3";"1";"1";"4";"1";"3";"1";"1";"3";"1";"2";"2";"1";"1";"1";5;"0";1;"riverside";"riverside";6,66666666666667;6,33333333333333;0,333333333333334;TRUE;TRUE;FALSE;1;1
"43";NA;"tv";"pro-first";7;4;5;3;3;7;5;7;5;7;"5";"2";"1";"1";"1";"4";"1";"3";"1";"1";"4";"1";"1";"3";"1";"1";"1";"2";"1";"1";"1";"1";"3";"1";"1";"5";"4";"1";"1";"1";"1";"1";"1";"1";"2";"1";"4";"1";"1";"1";"2";"1";"2";"1";"4";"1";"1";"3";"3";"1";"2";"2";"1";"1";"1";"4";"1";"1";"1";"1";"1";"4";5;"0";1;"riverside";"riverside";3,66666666666667;6,33333333333333;-2,66666666666667;TRUE;FALSE;FALSE;1;0
"44";NA;"tv";"pro-first";7;6;5;7;6;8;7;7;4;7;"2";"5";"1";"5";"4";"2";"4";"2";"3";"4";"2";"4";"1";"3";"5";"3";"4";"2";"5";"4";"2";"4";"3";"5";"2";"1";"1";"2";"1";"5";"2";"4";"4";"5";"1";"1";"1";"4";"5";"2";"2";"5";"2";"4";"2";"3";"4";"2";"2";"2";"1";"2";"1";"3";"4";"2";"4";"4";"3";"4";"1";NA;8;"0";1;"riverside";"riverside";6;6;0;TRUE;FALSE;FALSE;1;0
"45";NA;"tv";"pro-first";7;5;7;7;6;7;7;8;6;8;"3";"1";"3";"1";"1";"4";"1";"3";"4";"1";"3";"1";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"3";"2";"5";"3";"2";"1";"1";"1";"2";"4";"1";"4";"3";"2";"3";"1";"1";"3";"1";"1";"1";"1";"3";"2";"2";"3";"2";"2";"1";"1";"3";"1";"3";"2";"1";"1";"1";4;"0";1;"riverside";"riverside";6,66666666666667;7,33333333333333;-0,666666666666666;TRUE;TRUE;FALSE;1;1
"46";NA;"tv";"pro-first";7;6;5;8;6;7;6;6;5;6;"2";"1";"1";"1";"1";"3";"1";"2";"4";"1";"2";"1";"1";"4";"1";"1";"2";"1";"1";"4";"2";"1";"3";"2";"1";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"2";"3";"1";"3";"1";"1";"2";"1";"2";"1";"1";"2";"2";"1";"3";"1";"3";"1";"1";"4";"1";"2";"2";"4";"1";"4";7;"0";1;"riverside";"riverside";6,33333333333333;5,66666666666667;0,666666666666666;TRUE;FALSE;FALSE;1;0
"47";NA;"tv";"pro-first";7;4;5;4;5;7;7;6;5;7;"3";"5";"4";"4";"4";"3";"1";"2";"2";"5";"2";"3";"3";"5";"1";"1";"2";"2";"1";"4";"4";"1";"3";"4";"5";"3";"1";"5";"3";"3";"2";"4";"2";"1";"1";"2";"1";"2";"1";"1";"5";"5";"3";"4";"2";"5";"5";"2";"1";"4";"1";"2";"1";"5";"4";"1";"4";"1";"1";"5";"2";"6";6;"0";1;"riverside";"riverside";4,66666666666667;6;-1,33333333333333;TRUE;FALSE;FALSE;0;0
